c0_r0,c0_r1,c0_r2,c0_r3,c0_r4,c0_r5,c1_r0,c1_r1,c1_r2,c1_r3,c1_r4,c1_r5,c2_r0,c2_r1,c2_r2,c2_r3,c2_r4,c2_r5,c3_r0,c3_r1,c3_r2,c3_r3,c3_r4,c3_r5,c4_r0,c4_r1,c4_r2,c4_r3,c4_r4,c4_r5,c5_r0,c5_r1,c5_r2,c5_r3,c5_r4,c5_r5,c6_r0,c6_r1,c6_r2,c6_r3,c6_r4,c6_r5,to_move,move
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,put_3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,put_2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,X,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,X,X,-,-,-,-,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,put_3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,X,X,-,-,-,O,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,X,X,-,-,-,O,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,O,put_2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,O,X,X,-,-,-,O,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,put_1
-,-,-,-,-,-,-,-,-,-,-,X,-,-,O,O,X,X,-,-,-,O,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,O,put_2
-,-,-,-,-,-,-,-,-,-,-,X,-,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,put_2
-,-,-,-,-,-,-,-,-,-,-,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,O,put_4
-,-,-,-,-,-,-,-,-,-,-,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,O,X,-,-,-,-,-,-,-,-,-,-,-,-,X,put_5
-,-,-,-,-,-,-,-,-,-,-,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,O,X,-,-,-,-,-,X,-,-,-,-,-,-,O,put_1
-,-,-,-,-,-,-,-,-,-,O,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,O,X,-,-,-,-,-,X,-,-,-,-,-,-,X,put_5
-,-,-,-,-,-,-,-,-,-,O,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,O,X,-,-,-,-,X,X,-,-,-,-,-,-,O,put_4
-,-,-,-,-,-,-,-,-,-,O,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,O,O,X,-,-,-,-,X,X,-,-,-,-,-,-,X,pop_4
-,-,-,-,-,-,-,-,-,-,O,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,-,O,O,-,-,-,-,X,X,-,-,-,-,-,-,O,put_4
-,-,-,-,-,-,-,-,-,-,O,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,-,O,O,O,-,-,-,-,X,X,-,-,-,-,-,-,X,put_4
-,-,-,-,-,-,-,-,-,-,O,X,X,O,O,O,X,X,-,-,-,O,X,O,-,-,X,O,O,O,-,-,-,-,X,X,-,-,-,-,-,-,O,put_5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,put_3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,put_3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_1
-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,put_0
-,-,-,-,-,O,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,put_3
