c0_r0,c0_r1,c0_r2,c0_r3,c0_r4,c0_r5,c1_r0,c1_r1,c1_r2,c1_r3,c1_r4,c1_r5,c2_r0,c2_r1,c2_r2,c2_r3,c2_r4,c2_r5,c3_r0,c3_r1,c3_r2,c3_r3,c3_r4,c3_r5,c4_r0,c4_r1,c4_r2,c4_r3,c4_r4,c4_r5,c5_r0,c5_r1,c5_r2,c5_r3,c5_r4,c5_r5,c6_r0,c6_r1,c6_r2,c6_r3,c6_r4,c6_r5,to_move,put_0,put_1,put_2,put_3,put_4,put_5,put_6,pop_0,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,move
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,T,T,T,T,T,T,T,T,F,F,F,F,F,F,put_3
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,O,T,T,T,T,T,T,T,F,F,F,T,F,F,F,put_4
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,X,T,T,T,T,T,T,T,T,F,F,F,F,F,F,put_2
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,O,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,O,T,T,T,T,T,T,T,F,F,F,T,T,F,F,put_5
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,O,-,-,-,-,-,O,-,-,-,-,-,O,-,-,-,-,-,-,X,T,T,T,T,T,T,T,T,F,T,F,F,F,F,put_6
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,O,-,-,-,-,-,O,-,-,-,-,-,O,-,-,-,-,-,X,O,T,T,T,T,T,T,T,F,F,F,T,T,T,F,put_2
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,-,-,-,X,O,-,-,-,-,-,O,-,-,-,-,-,O,-,-,-,-,-,X,X,T,T,T,T,T,T,T,T,F,T,F,F,F,T,put_6
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,-,-,-,X,O,-,-,-,-,-,O,-,-,-,-,-,O,-,-,-,-,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,T,F,put_4
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,-,-,-,X,O,-,-,-,-,O,O,-,-,-,-,-,O,-,-,-,-,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,F,T,put_4
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,-,-,-,X,O,-,-,-,X,O,O,-,-,-,-,-,O,-,-,-,-,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,T,F,put_2
-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,O,O,X,-,-,-,-,X,O,-,-,-,X,O,O,-,-,-,-,-,O,-,-,-,-,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,F,T,put_2
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,-,-,X,O,-,-,-,X,O,O,-,-,-,-,-,O,-,-,-,-,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,T,F,put_6
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,-,-,X,O,-,-,-,X,O,O,-,-,-,-,-,O,-,-,-,O,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,F,T,put_3
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,-,X,X,O,-,-,-,X,O,O,-,-,-,-,-,O,-,-,-,O,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,T,F,put_3
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,-,X,O,O,-,-,-,-,-,O,-,-,-,O,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,F,T,put_5
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,-,X,O,O,-,-,-,-,X,O,-,-,-,O,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,T,F,pop_5
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,-,X,O,O,-,-,-,-,-,X,-,-,-,O,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,T,T,put_5
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,-,X,O,O,-,-,-,-,X,X,-,-,-,O,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,F,F,put_4
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,O,X,O,O,-,-,-,-,X,X,-,-,-,O,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,T,T,put_5
-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,O,X,O,O,-,-,-,X,X,X,-,-,-,O,X,X,O,T,T,T,T,T,T,T,F,F,F,T,T,F,F,put_0
-,-,-,-,O,X,-,-,-,-,-,-,-,-,X,O,O,X,-,-,O,X,X,O,-,-,O,X,O,O,-,-,-,X,X,X,-,-,-,O,X,X,X,T,T,T,T,T,T,T,T,F,T,F,F,T,T,put_5
-,-,-,X,O,O,O,O,X,O,X,X,-,-,-,-,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,-,X,O,X,O,X,T,F,T,T,T,T,T,F,T,F,T,F,T,F,put_0
-,-,X,X,O,O,O,O,X,O,X,X,-,-,-,-,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,-,X,O,X,O,O,T,F,T,T,T,T,T,T,F,T,F,F,F,T,put_6
-,-,X,X,O,O,O,O,X,O,X,X,-,-,-,-,X,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,O,X,-,O,X,O,X,O,X,T,F,T,T,T,T,T,F,T,F,T,F,T,F,pop_1
-,-,-,-,-,O,-,-,-,-,X,O,-,-,X,O,X,X,-,-,-,-,-,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,O,T,T,T,T,T,T,T,T,T,F,F,T,F,F,put_3
-,-,-,-,-,O,-,-,-,-,X,O,-,-,X,O,X,X,-,-,-,-,O,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,X,T,T,T,T,T,T,T,F,F,T,T,F,F,F,put_3
-,-,-,-,-,O,-,-,-,-,X,O,-,-,X,O,X,X,-,-,-,X,O,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,O,T,T,T,T,T,T,T,T,T,F,F,T,F,F,put_1
-,-,-,-,-,O,-,-,-,O,X,O,-,-,X,O,X,X,-,-,-,X,O,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,X,T,T,T,T,T,T,T,F,F,T,T,F,F,F,put_1
-,-,-,-,-,O,-,-,X,O,X,O,-,-,X,O,X,X,-,-,-,X,O,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,O,T,T,T,T,T,T,T,T,T,F,F,T,F,F,put_3
-,-,-,-,-,O,-,-,X,O,X,O,-,-,X,O,X,X,-,-,O,X,O,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,-,X,T,T,T,T,T,T,T,F,F,T,T,F,F,F,pop_3
